iter	Passed	Remaining
268	1230	3343
269	1231	3329
270	1232	3316
271	1246	3336
272	1250	3329
273	1252	3318
274	1254	3307
275	1256	3297
276	1258	3284
277	1259	3272
278	1261	3259
279	1262	3246
280	1272	3257
281	1276	3249
282	1277	3237
283	1279	3224
284	1288	3232
285	1291	3225
286	1293	3214
287	1296	3205
288	1298	3193
289	1300	3183
290	1302	3174
291	1304	3162
292	1305	3150
293	1314	3156
294	1319	3152
295	1321	3142
296	1322	3131
297	1324	3120
298	1326	3109
299	1329	3102
300	1332	3094
301	1334	3084
302	1337	3075
303	1344	3078
304	1347	3069
305	1349	3060
306	1351	3050
307	1353	3040
308	1354	3029
309	1356	3019
310	1358	3010
311	1363	3006
312	1365	2998
313	1370	2993
314	1372	2984
315	1374	2974
316	1375	2964
317	1377	2955
318	1379	2944
319	1380	2933
320	1382	2924
321	1384	2914
322	1385	2904
323	1387	2893
324	1388	2883
325	1390	2874
326	1392	2865
327	1393	2855
328	1394	2845
329	1396	2835
330	1397	2825
331	1399	2815
332	1400	2806
333	1402	2796
334	1403	2786
335	1405	2777
336	1407	2768
337	1408	2759
338	1410	2750
339	1423	2762
340	1426	2756
341	1428	2748
342	1429	2738
343	1431	2729
344	1433	2722
345	1436	2715
346	1438	2706
347	1439	2697
348	1441	2688
349	1442	2679
350	1444	2670
351	1445	2661
352	1447	2652
353	1448	2644
354	1452	2638
355	1455	2633
356	1457	2624
357	1462	2622
358	1464	2614
359	1467	2609
360	1470	2602
361	1472	2594
362	1474	2587
363	1476	2579
364	1481	2576
365	1485	2572
366	1487	2566
367	1489	2558
368	1491	2550
369	1493	2542
370	1494	2534
371	1497	2528
372	1499	2520
373	1501	2513
374	1502	2504
375	1504	2496
376	1505	2487
377	1517	2496
378	1519	2489
379	1522	2483
380	1524	2476
381	1528	2473
382	1530	2465
383	1531	2457
384	1534	2451
385	1539	2449
386	1543	2444
387	1546	2440
388	1549	2433
389	1552	2428
390	1554	2420
391	1556	2413
392	1558	2407
393	1562	2403
394	1569	2403
395	1571	2396
396	1573	2389
397	1575	2382
398	1576	2374
399	1588	2382
400	1590	2376
401	1592	2369
402	1599	2368
403	1601	2361
404	1604	2357
405	1607	2351
406	1610	2346
407	1614	2342
408	1617	2337
409	1619	2330
410	1620	2323
411	1622	2315
412	1625	2310
413	1628	2305
414	1631	2300
415	1633	2292
416	1634	2285
417	1635	2277
418	1637	2270
419	1638	2262
420	1640	2256
421	1642	2249
422	1644	2243
423	1666	2263
424	1668	2256
425	1669	2249
426	1671	2242
427	1673	2236
428	1676	2231
429	1681	2228
430	1682	2221
431	1684	2214
432	1685	2207
433	1687	2200
434	1689	2194
435	1692	2188
436	1693	2181
437	1694	2174
438	1704	2178
439	1707	2173
440	1709	2167
441	1711	2160
442	1714	2156
443	1717	2151
444	1722	2147
445	1723	2140
446	1725	2134
447	1727	2128
448	1728	2121
449	1732	2117
450	1738	2116
451	1740	2110
452	1742	2103
453	1743	2096
454	1744	2090
455	1751	2089
456	1753	2083
457	1754	2076
458	1756	2070
459	1763	2069
460	1767	2066
461	1770	2061
462	1772	2055
463	1773	2048
464	1775	2043
465	1777	2037
466	1779	2030
467	1780	2024
468	1782	2017
469	1783	2011
470	1784	2004
471	1786	1998
472	1787	1991
473	1789	1985
474	1790	1979
475	1805	1987
476	1812	1987
477	1814	1981
478	1815	1974
479	1817	1968
480	1818	1962
481	1822	1958
482	1825	1954
483	1828	1948
484	1829	1942
485	1831	1936
486	1834	1932
487	1836	1927
488	1839	1922
489	1841	1917
490	1843	1911
491	1845	1905
492	1849	1901
493	1853	1898
494	1855	1892
495	1856	1886
496	1857	1880
497	1859	1874
498	1860	1868
499	1862	1862
500	1865	1857
501	1869	1854
502	1871	1848
503	1872	1843
504	1874	1837
505	1876	1831
506	1883	1831
507	1885	1826
508	1887	1820
509	1888	1814
510	1890	1808
511	1891	1803
512	1893	1797
513	1895	1792
514	1897	1786
515	1898	1780
516	1900	1775
517	1901	1769
518	1902	1763
519	1904	1757
520	1905	1752
521	1907	1746
522	1909	1741
523	1910	1735
524	1912	1730
525	1913	1724
526	1915	1718
527	1916	1713
528	1932	1720
529	1938	1719
530	1944	1717
531	1946	1712
532	1948	1706
533	1950	1701
534	1952	1697
535	1954	1692
536	1957	1687
537	1959	1682
538	1969	1684
539	1974	1681
540	1975	1676
541	1978	1671
542	1979	1666
543	1981	1661
544	1983	1655
545	1988	1653
546	1990	1648
547	1992	1643
548	1993	1638
549	1995	1632
550	1998	1628
551	2000	1623
552	2002	1618
553	2004	1613
554	2007	1609
555	2009	1605
556	2011	1599
557	2013	1594
558	2016	1590
559	2018	1586
560	2020	1581
561	2021	1575
562	2023	1570
563	2024	1564
564	2025	1559
565	2027	1554
566	2029	1550
567	2032	1545
568	2035	1541
569	2036	1536
570	2038	1531
571	2039	1526
572	2041	1521
573	2044	1517
574	2047	1513
575	2049	1508
576	2051	1503
577	2052	1498
578	2054	1493
579	2055	1488
580	2057	1483
581	2060	1479
582	2062	1475
583	2064	1470
584	2067	1466
585	2087	1474
586	2090	1470
587	2094	1467
588	2097	1463
589	2101	1460
590	2102	1455
591	2106	1451
592	2108	1447
593	2110	1442
594	2112	1437
595	2113	1432
596	2115	1427
597	2116	1422
598	2120	1419
599	2122	1414
600	2124	1410
601	2138	1414
602	2142	1410
603	2151	1410
604	2154	1406
605	2156	1402
606	2158	1397
607	2159	1392
608	2160	1387
609	2163	1383
610	2165	1378
611	2169	1375
612	2170	1370
613	2172	1365
614	2173	1360
615	2175	1355
616	2177	1351
617	2179	1347
618	2181	1343
619	2183	1338
620	2184	1333
621	2185	1328
622	2187	1323
623	2188	1318
624	2215	1329
625	2218	1325
626	2221	1321
627	2222	1316
628	2225	1312
629	2228	1309
630	2230	1304
631	2231	1299
632	2233	1294
633	2235	1290
634	2236	1285
635	2242	1283
636	2245	1279
637	2248	1275
638	2249	1271
639	2251	1266
640	2252	1261
641	2256	1258
642	2258	1254
643	2260	1249
644	2261	1244
645	2263	1240
646	2264	1235
647	2266	1231
648	2272	1229
649	2274	1224
650	2276	1220
651	2277	1215
652	2279	1211
653	2280	1206
654	2281	1201
655	2283	1197
656	2285	1193
657	2288	1189
658	2289	1184
659	2290	1180
660	2292	1175
661	2293	1171
662	2294	1166
663	2296	1162
664	2297	1157
665	2299	1153
666	2301	1148
667	2303	1144
668	2305	1140
669	2306	1136
670	2308	1131
671	2309	1127
672	2311	1122
673	2312	1118
674	2315	1114
675	2318	1111
676	2323	1108
677	2328	1105
678	2330	1101
679	2333	1098
680	2337	1095
681	2339	1090
682	2341	1086
683	2343	1082
684	2345	1078
685	2346	1074
686	2350	1070
687	2355	1068
688	2357	1064
689	2359	1060
690	2364	1057
691	2368	1053
692	2370	1050
693	2384	1051
694	2389	1048
695	2392	1044
696	2395	1041
697	2401	1039
698	2403	1035
699	2406	1031
700	2408	1027
701	2411	1023
702	2416	1020
703	2418	1016
704	2420	1013
705	2422	1008
706	2424	1004
707	2427	1001
708	2431	998
709	2433	993
710	2434	989
711	2436	985
712	2438	981
713	2441	977
714	2445	974
715	2448	971
716	2451	967
717	2452	963
718	2454	959
719	2456	955
720	2459	951
721	2463	948
722	2465	944
723	2471	942
724	2477	939
725	2479	935
726	2491	935
727	2493	931
728	2495	927
729	2501	925
730	2503	921
731	2505	917
732	2506	913
733	2510	909
734	2519	908
735	2532	908
736	2535	904
737	2536	900
738	2538	896
739	2539	892
740	2541	888
741	2543	884
742	2549	881
743	2551	877
744	2552	873
745	2553	869
746	2555	865
747	2556	861
748	2558	857
749	2560	853
750	2561	849
751	2563	845
752	2564	841
753	2566	837
754	2567	833
755	2568	829
756	2570	825
757	2572	821
758	2573	817
759	2576	813
760	2577	809
761	2578	805
762	2580	801
763	2587	799
764	2589	795
765	2594	792
766	2596	788
767	2597	784
768	2599	780
769	2602	777
770	2603	773
771	2607	769
772	2608	766
773	2609	762
774	2611	758
775	2612	754
776	2614	750
777	2615	746
778	2618	742
779	2620	738
780	2630	737
781	2631	733
782	2633	729
783	2635	726
784	2637	722
785	2639	718
786	2640	714
787	2642	710
788	2643	706
789	2645	703
790	2647	699
791	2658	698
792	2660	694
793	2661	690
794	2662	686
795	2664	682
796	2669	679
797	2671	676
798	2673	672
799	2676	669
800	2678	665
801	2683	662
802	2685	658
803	2687	655
804	2689	651
805	2690	647
806	2691	643
807	2693	639
808	2694	636
809	2697	632
810	2701	629
811	2704	626
812	2709	623
813	2712	619
814	2714	616
815	2716	612
816	2718	608
817	2720	605
818	2721	601
819	2723	597
820	2732	595
821	2733	592
822	2735	588
823	2737	584
824	2739	581
825	2742	577
826	2746	574
827	2749	571
828	2750	567
829	2752	563
830	2753	559
831	2754	556
832	2758	552
833	2760	549
834	2761	545
835	2763	542
836	2764	538
837	2766	534
838	2767	531
839	2769	527
840	2771	524
841	2773	520
842	2774	516
843	2775	513
844	2777	509
845	2778	505
846	2779	502
847	2781	498
848	2782	494
849	2785	491
850	2791	488
851	2793	485
852	2794	481
853	2796	478
854	2798	474
855	2799	470
856	2801	467
857	2803	463
858	2804	460
859	2806	456
860	2807	453
861	2809	449
862	2810	446
863	2811	442
864	2815	439
865	2817	435
866	2818	432
867	2820	428
868	2821	425
869	2824	422
870	2826	418
871	2828	415
872	2831	411
873	2833	408
874	2835	405
875	2836	401
876	2838	398
877	2839	394
878	2840	391
879	2841	387
880	2842	384
881	2844	380
882	2846	377
883	2847	373
884	2849	370
885	2851	366
886	2853	363
887	2854	360
888	2855	356
889	2857	353
890	2858	349
891	2863	346
892	2865	343
893	2866	339
894	2867	336
895	2869	333
896	2870	329
897	2872	326
898	2873	322
899	2876	319
900	2878	316
901	2879	312
902	2880	309
903	2882	306
904	2892	303
905	2895	300
906	2897	297
907	2899	293
908	2902	290
909	2904	287
910	2909	284
911	2911	280
912	2913	277
913	2915	274
914	2916	270
915	2918	267
916	2919	264
917	2923	261
918	2925	257
919	2927	254
920	2928	251
921	2930	247
922	2931	244
923	2932	241
924	2934	237
925	2936	234
926	2938	231
927	2940	228
928	2941	224
929	2943	221
930	2944	218
931	2945	214
932	2947	211
933	2948	208
934	2951	205
935	2952	201
936	2954	198
937	2955	195
938	2956	192
939	2958	188
940	2959	185
941	2960	182
942	2962	179
943	2963	175
944	2966	172
945	2968	169
946	2970	166
947	2972	163
948	2973	159
949	2975	156
950	2976	153
951	2978	150
952	2979	146
953	2981	143
954	2983	140
955	2984	137
956	2986	134
957	2987	130
958	2988	127
959	2989	124
960	2990	121
961	2992	118
962	2993	115
963	2994	111
964	2996	108
965	2998	105
966	2999	102
967	3003	99
968	3004	96
969	3006	92
970	3007	89
971	3011	86
972	3013	83
973	3014	80
974	3016	77
975	3017	74
976	3019	71
977	3021	67
978	3023	64
979	3025	61
980	3027	58
981	3029	55
982	3030	52
983	3031	49
984	3033	46
985	3034	43
986	3036	39
987	3037	36
988	3038	33
989	3040	30
990	3041	27
991	3043	24
992	3044	21
993	3045	18
994	3047	15
995	3048	12
996	3049	9
997	3050	6
998	3051	3
999	3052	0
